is_real_estate_post,area_LLM,bedroom_LLM,total_room_LLm,wc_LLM,count_conveniences,alleyway_property,under_mortgage,residential_purpose,furnished,has_lowerlevel,has_rooftop,numbers_of_floors,street_name,article_id
1.0,150.0,2.0,,1.0,0,1.0,1.0,,,,,,,285164.0
1.0,51.0,,,,2,1.0,,,,,,3.0,Âu Cơ,285163.0
1.0,45.0,2.0,2.0,2.0,2,1.0,,1.0,,,,2.0,Phan Đăng Lưu,285162.0
1.0,41.0,,,,0,,,,,,,2.0,LÊ HỒNG PHONG,285161.0
1.0,96.0,,,,1,1.0,,,,,,2.0,,285159.0
1.0,91.0,3.0,,,1,1.0,,,,,,2.0,đường số 9,285145.0
1.0,180.0,,,,1,,,,,,,0.0,Kha Vạn Cân,285142.0
1.0,80.0,15.0,15.0,,0,1.0,,1.0,,,,5.0,Đường 3/2,285135.0
1.0,33.0,3.0,,3.0,4,,,1.0,,,,3.0,Bạch Đằng,285129.0
1.0,118.0,,,,1,,1.0,1.0,,,,,Phạm Văn Đồng,285127.0
,,,,,0,,,,,,,0.0,,285126.0
1.0,94.0,2.0,,,0,,,,1.0,,,,Võ Văn Kiệt,285124.0
1.0,75.0,5.0,5.0,6.0,2,0.0,0.0,1.0,0.0,0.0,1.0,3.0,Nguyễn Tất Thành,285118.0
1.0,105.0,4.0,4.0,3.0,0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,Mễ Cốc,285109.0
1.0,24.0,,,,0,1.0,,1.0,,,,2.0,Trần Xuân Soạn,285107.0
1.0,85.0,7.0,7.0,3.0,0,1.0,,,,,1.0,2.0,HÒA BÌNH,285102.0
1.0,53.0,4.0,4.0,5.0,1,1.0,,,,1.0,,4.0,PHAN HUY ÍCH,285100.0
1.0,,,,,0,,,,,,,0.0,,285099.0
1.0,80.0,,,,1,1.0,,,,,,,Bùi Tá Hán,285098.0
1.0,50.0,3.0,,,2,1.0,,,,,,,Nguyễn Khuyến,285097.0
1.0,40.0,,,,0,1.0,,,,,,4.0,Bùi Thế Mỹ,285087.0
1.0,80.0,5.0,5.0,5.0,0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,,285086.0
1.0,80.0,,,,1,1.0,,,,,1.0,3.0,Bùi Tá Hán,285079.0
1.0,57.0,4.0,,3.0,1,,,,1.0,,1.0,4.0,NGUYỄN HỮU TIẾN,285076.0
1.0,55.0,,,,2,1.0,,,,,,3.0,Phạm Văn Hai,285075.0
1.0,35.0,,,,2,,,,,,,4.0,Hồng Lạc,285074.0
1.0,31.0,4.0,,3.0,0,,,,1.0,,,3.0,Thoại Ngọc Hầu Hòa Bình Nguyễn Sơn,285073.0
1.0,80.0,4.0,6.0,5.0,0,1.0,,,,,1.0,2.0,Đường Trường Lưu,285066.0
1.0,55.0,1.0,2.0,1.0,2,,,,1.0,,,,Đường D1,285065.0
1.0,71.5,,,,0,,,,,,1.0,2.0,Bùi Tá Hán,285063.0
1.0,75.0,5.0,5.0,6.0,0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,Đường số,285059.0
1.0,,,,,0,,,,,,,0.0,,285058.0
1.0,75.0,5.0,5.0,3.0,4,1.0,1.0,1.0,,,1.0,2.0,Đường số 5,285057.0
1.0,215.0,,,,0,,,1.0,,1.0,1.0,2.0,Nguyễn Khuyến,285048.0
1.0,215.0,,,,0,,,1.0,,1.0,1.0,2.0,Nguyễn Khuyến,285047.0
1.0,49.92,2.0,2.0,2.0,1,1.0,,1.0,1.0,,,2.0,Trường Chinh,285044.0
1.0,94.0,3.0,,4.0,0,1.0,,1.0,,,1.0,3.0,Bùi Quang Là,285038.0
1.0,,2.0,,2.0,2,,,,1.0,,,2.0,,285032.0
1.0,55.0,5.0,5.0,5.0,3,1.0,,1.0,,,,3.0,Trường Sa,285024.0
1.0,227.0,20.0,,,2,1.0,,1.0,,,,,Đường Hoàng Diệu,285023.0
0.0,,,,,0,,,,,,,0.0,,285015.0
1.0,60.0,,,,4,1.0,,,,,,3.0,Cách mạng tháng 8,285010.0
1.0,59.0,2.0,2.0,2.0,7,,,,,,,1.0,,285004.0
1.0,48.0,2.0,,2.0,0,1.0,,,,1.0,,2.0,VƯỜN LÀI TÂN PHÚ,285003.0
1.0,60.0,3.0,,,3,1.0,,,,,,2.0,Cách mạng tháng 8,284992.0
1.0,58.0,4.0,,,5,1.0,,1.0,,,1.0,5.0,Nguyễn Văn Khối,284982.0
1.0,48.0,4.0,4.0,4.0,2,1.0,,,,,1.0,3.0,ĐƯỜNG TỈNH LỘ 10,284979.0
1.0,80.0,,,,1,1.0,,,,,,4.0,đường nhựa 18m,284978.0
1.0,33.0,,,,0,,,,,,,2.0,Đường số 16 HBC,284975.0
1.0,75.0,2.0,,,1,,,,,,,1.0,Lý Thánh Tông,284973.0
1.0,75.0,2.0,3.0,,1,1.0,,1.0,1.0,,,1.0,Lý Thánh Tông,284972.0
1.0,52.0,4.0,,,3,1.0,,,,,,3.0,Ô TÔ,284971.0
1.0,53.0,3.0,,,1,1.0,,,,,1.0,5.0,Quang Trung,284968.0
1.0,300.0,,,,0,,1.0,,,,1.0,4.0,Hương Lộ 2,284964.0
0.0,,,,,0,,,,,,,0.0,,284956.0
1.0,,,,,3,1.0,,1.0,,1.0,,5.0,Lạc Long Quân,284952.0
1.0,50.0,3.0,3.0,2.0,1,1.0,0.0,1.0,0.0,0.0,0.0,2.0,Phạm Văn Chiêu,284950.0
1.0,42.0,3.0,,3.0,0,,,,,,,4.0,Đường số 4,284947.0
1.0,88.0,,,2.0,1,1.0,,1.0,,,,2.0,Phạm Văn Hai,284945.0
1.0,85.0,,,,0,,,,,,,2.0,QUANG TRUNG,284942.0
1.0,80.0,4.0,4.0,1.0,1,1.0,,,,,,3.0,MT Gò xoài,284927.0
1.0,,4.0,,,0,1.0,,,,,1.0,4.0,Vườn Lài,284914.0
1.0,121.0,,,,2,,,,,,,,Tô Ngọc Vân,284908.0
,,,,,0,,,,,,,0.0,,284906.0
1.0,40.0,3.0,,2.0,0,1.0,,,,,,2.0,Nguyễn Thượng Hiền,284904.0
1.0,80.0,2.0,,,0,,,,,,,11.0,,284902.0
1.0,,,,,0,,,,,,,0.0,,284899.0
1.0,220.6,6.0,6.0,4.0,1,1.0,1.0,1.0,0.0,0.0,0.0,2.0,Sau lưng Gigamall,284896.0
1.0,61.0,5.0,5.0,5.0,0,1.0,,,,1.0,1.0,4.0,LŨY BÁN BÍCH HUỲNH THIỆN LỘC TÂN PHÚ,284888.0
1.0,96.0,,,,0,1.0,,1.0,,,,2.0,LŨY BÁN BÍCH,284885.0
1.0,57.0,3.0,3.0,3.0,2,1.0,,1.0,,1.0,,2.0,Âu Cơ,284884.0
1.0,,3.0,,3.0,2,1.0,,1.0,,1.0,,2.0,Âu Cơ,284881.0
1.0,55.0,4.0,4.0,5.0,4,1.0,0.0,1.0,0.0,0.0,0.0,4.0,Nguyễn Văn Khối,284872.0
